
2024/10/18 (12:28:43) | ===> btop++ v.1.4.0
2024/10/18 (12:28:43) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/25 (21:06:27) | ===> btop++ v.1.4.0
2024/12/25 (21:06:27) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/25 (21:16:46) | ===> btop++ v.1.4.0
2024/12/25 (21:16:46) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/28 (05:39:15) | ===> btop++ v.1.4.0
2024/12/28 (05:39:15) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/04 (23:53:06) | ===> btop++ v.1.4.0
2025/01/04 (23:53:06) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/10 (18:08:45) | ===> btop++ v.1.4.0
2025/01/10 (18:08:45) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/12 (17:52:09) | ===> btop++ v.1.4.0
2025/03/12 (17:52:09) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/25 (06:49:27) | ===> btop++ v.1.4.0
2025/03/25 (06:49:27) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/25 (07:03:52) | ===> btop++ v.1.4.0
2025/03/25 (07:03:52) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/25 (07:06:17) | WARNING: Failed to join _runner thread on exit!

2025/03/25 (07:08:04) | ===> btop++ v.1.4.0
2025/03/25 (07:08:04) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/25 (07:08:47) | WARNING: Failed to join _runner thread on exit!

2025/03/25 (07:09:47) | ===> btop++ v.1.4.0
2025/03/25 (07:09:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/25 (07:13:26) | ===> btop++ v.1.4.0
2025/03/25 (07:13:26) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/25 (07:16:46) | ===> btop++ v.1.4.0
2025/03/25 (07:16:46) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/25 (07:17:17) | WARNING: Failed to join _runner thread on exit!

2025/03/25 (07:19:26) | ===> btop++ v.1.4.0
2025/03/25 (07:19:26) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/25 (07:21:36) | WARNING: Failed to join _runner thread on exit!

2025/03/25 (07:22:23) | ===> btop++ v.1.4.0
2025/03/25 (07:22:23) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/25 (07:23:24) | WARNING: Failed to join _runner thread on exit!

2025/03/25 (07:30:33) | ===> btop++ v.1.4.0
2025/03/25 (07:30:33) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/25 (07:32:13) | ===> btop++ v.1.4.0
2025/03/25 (07:32:13) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/25 (07:35:10) | ===> btop++ v.1.4.0
2025/03/25 (07:35:10) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/25 (07:36:17) | ===> btop++ v.1.4.0
2025/03/25 (07:36:17) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/25 (07:36:30) | WARNING: Failed to join _runner thread on exit!

2025/03/25 (07:38:09) | ===> btop++ v.1.4.0
2025/03/25 (07:38:09) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/25 (07:42:49) | ===> btop++ v.1.4.0
2025/03/25 (07:42:49) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/25 (07:44:21) | ===> btop++ v.1.4.0
2025/03/25 (07:44:21) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/25 (07:45:12) | ===> btop++ v.1.4.0
2025/03/25 (07:45:12) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/25 (07:46:01) | ===> btop++ v.1.4.0
2025/03/25 (07:46:01) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/25 (07:47:30) | WARNING: Failed to join _runner thread on exit!

2025/03/25 (07:48:50) | ===> btop++ v.1.4.0
2025/03/25 (07:48:50) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/25 (07:50:15) | WARNING: Failed to join _runner thread on exit!

2025/03/25 (07:56:06) | ===> btop++ v.1.4.0
2025/03/25 (07:56:06) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/25 (07:56:43) | ===> btop++ v.1.4.0
2025/03/25 (07:56:43) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/25 (08:01:16) | WARNING: Failed to join _runner thread on exit!

2025/03/27 (09:05:24) | ===> btop++ v.1.4.0
2025/03/27 (09:05:24) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/27 (09:11:05) | ===> btop++ v.1.4.0
2025/03/27 (09:11:05) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/27 (09:11:36) | WARNING: Failed to join _runner thread on exit!

2025/03/28 (12:20:47) | ===> btop++ v.1.4.0
2025/03/28 (12:20:47) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/28 (12:23:05) | WARNING: Failed to join _runner thread on exit!

2025/03/31 (20:22:16) | ===> btop++ v.1.4.0
2025/03/31 (20:22:16) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/31 (20:22:42) | WARNING: Failed to join _runner thread on exit!

2025/04/03 (01:41:28) | ===> btop++ v.1.4.0
2025/04/03 (01:41:28) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/03 (01:42:26) | WARNING: Failed to join _runner thread on exit!

2025/04/03 (02:10:49) | ===> btop++ v.1.4.0
2025/04/03 (02:10:49) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/03 (02:10:54) | WARNING: Failed to join _runner thread on exit!

2025/04/06 (03:06:52) | ===> btop++ v.1.4.0
2025/04/06 (03:06:52) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/06 (03:11:14) | WARNING: Failed to join _runner thread on exit!

2025/04/16 (10:38:14) | ===> btop++ v.1.4.0
2025/04/16 (10:38:14) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/16 (10:42:50) | WARNING: Failed to join _runner thread on exit!

2025/04/16 (10:42:54) | ===> btop++ v.1.4.0
2025/04/16 (10:42:54) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/16 (10:44:44) | WARNING: Failed to join _runner thread on exit!

2025/04/17 (16:19:52) | ===> btop++ v.1.4.0
2025/04/17 (16:19:52) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/17 (16:25:41) | WARNING: Failed to join _runner thread on exit!

2025/04/17 (18:16:41) | ===> btop++ v.1.4.0
2025/04/17 (18:16:41) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/17 (18:17:29) | WARNING: Failed to join _runner thread on exit!

2025/04/17 (18:20:59) | ===> btop++ v.1.4.0
2025/04/17 (18:20:59) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/17 (18:22:15) | WARNING: Failed to join _runner thread on exit!

2025/04/17 (18:29:35) | ===> btop++ v.1.4.0
2025/04/17 (18:29:35) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/17 (18:29:51) | WARNING: Failed to join _runner thread on exit!

2025/04/17 (18:36:35) | ===> btop++ v.1.4.0
2025/04/17 (18:36:35) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/17 (18:36:52) | WARNING: Failed to join _runner thread on exit!

2025/04/17 (18:39:33) | ===> btop++ v.1.4.0
2025/04/17 (18:39:33) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/17 (18:45:38) | ===> btop++ v.1.4.0
2025/04/17 (18:45:38) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/23 (13:28:52) | ===> btop++ v.1.4.0
2025/04/23 (13:28:52) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/23 (13:28:58) | WARNING: Failed to join _runner thread on exit!

2025/04/23 (13:31:42) | ===> btop++ v.1.4.0
2025/04/23 (13:31:42) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/23 (13:33:39) | WARNING: Failed to join _runner thread on exit!

2025/04/26 (22:02:42) | ===> btop++ v.1.4.0
2025/04/26 (22:02:42) | WARNING: Intel GPU: Failed to initialize PMU
2025/04/26 (22:03:14) | WARNING: Failed to join _runner thread on exit!
